Tid	Kanal A
0.01740000	12.08784000
0.01750000	12.08784000
0.01760000	12.08784000
0.01770000	12.08784000
0.01780000	12.08784000
0.01790000	12.08784000
0.01800000	12.08784000
0.01810000	12.08784000
0.01820000	12.08784000
0.01830000	12.08784000
0.01840000	12.08784000
0.01850000	12.08784000
0.01860000	12.08784000
0.01870000	12.08784000
0.01880000	12.08784000
0.01890000	12.08784000
0.01900000	12.08784000
0.01910000	12.08784000
0.01920000	12.08784000
0.01930000	12.08784000
0.01940000	12.08784000
0.01950000	12.08784000
0.01960000	12.08784000
0.01970000	13.01673000
0.01980000	12.08784000
0.01990000	13.01673000
0.02000000	13.01673000
0.02010000	13.01673000
0.02020000	13.01673000
0.02030000	13.01673000
0.02040000	13.01673000
0.02050000	13.01673000
0.02060000	13.94562000
0.02070000	13.01673000
0.02080000	13.94562000
0.02090000	13.94562000
0.02100000	13.94562000
0.02110000	13.94562000
0.02120000	13.94562000
0.02130000	13.94562000
0.02140000	13.01673000
0.02150000	13.94562000
0.02160000	13.94562000
0.02170000	13.01673000
0.02180000	13.01673000
0.02190000	13.01673000
0.02200000	13.01673000
0.02210000	13.01673000
0.02220000	13.01673000
0.02230000	13.01673000
0.02240000	13.01673000
0.02250000	13.01673000
0.02260000	13.01673000
0.02270000	13.01673000
0.02280000	13.01673000
0.02290000	13.01673000
0.02300000	13.01673000
0.02310000	13.01673000
0.02320000	13.01673000
0.02330000	13.01673000
0.02340000	13.01673000
0.02350000	13.01673000
0.02360000	13.01673000
0.02370000	13.01673000
0.02380000	13.01673000
0.02390000	13.01673000
0.02400000	13.01673000
0.02410000	13.01673000
0.02420000	12.08784000
0.02430000	12.08784000
0.02440000	13.01673000
0.02450000	12.08784000
0.02460000	12.08784000
0.02470000	12.08784000
0.02480000	12.08784000
0.02490000	12.08784000
0.02500000	12.08784000
0.02510000	12.08784000
0.02520000	12.08784000
0.02530000	13.01673000
0.02540000	13.01673000
0.02550000	13.01673000
0.02560000	13.01673000
0.02570000	13.01673000
0.02580000	13.01673000
0.02590000	13.01673000
0.02600000	13.01673000
0.02610000	13.01673000
0.02620000	13.01673000
0.02630000	13.01673000
0.02640000	13.01673000
0.02650000	13.01673000
0.02660000	13.01673000
0.02670000	13.01673000
0.02680000	13.01673000
0.02690000	13.01673000
0.02700000	13.01673000
0.02710000	13.94562000
0.02720000	13.01673000
0.02730000	13.94562000
0.02740000	13.94562000
0.02750000	13.94562000
0.02760000	13.94562000
0.02770000	13.94562000
0.02780000	13.94562000
0.02790000	13.94562000
0.02800000	13.94562000
0.02810000	13.94562000
0.02820000	13.94562000
0.02830000	13.94562000
0.02840000	13.94562000
0.02850000	13.94562000
0.02860000	13.94562000
0.02870000	13.94562000
0.02880000	13.94562000
0.02890000	13.94562000
0.02900000	13.94562000
0.02910000	13.94562000
0.02920000	13.94562000
0.02930000	13.94562000
0.02940000	13.94562000
0.02950000	13.94562000
0.02960000	13.94562000
0.02970000	13.94562000
0.02980000	13.94562000
0.02990000	13.94562000
0.03000000	13.94562000
0.03010000	13.94562000
0.03020000	13.94562000
0.03030000	13.94562000
0.03040000	13.94562000
0.03050000	13.94562000
0.03060000	13.94562000
0.03070000	13.94562000
0.03080000	13.94562000
0.03090000	13.94562000
0.03100000	13.94562000
0.03110000	13.94562000
0.03120000	13.94562000
0.03130000	13.94562000
0.03140000	13.94562000
0.03150000	13.94562000
0.03160000	13.94562000
0.03170000	13.94562000
0.03180000	13.94562000
0.03190000	13.94562000
0.03200000	13.94562000
0.03210000	13.94562000
0.03220000	13.94562000
0.03230000	13.01673000
0.03240000	13.01673000
0.03250000	13.94562000
0.03260000	13.94562000
0.03270000	13.94562000
0.03280000	13.94562000
0.03290000	13.94562000
0.03300000	13.94562000
0.03310000	13.94562000
0.03320000	13.94562000
0.03330000	13.94562000
0.03340000	13.94562000
0.03350000	13.94562000
0.03360000	13.01673000
0.03370000	13.94562000
0.03380000	13.94562000
0.03390000	13.94562000
0.03400000	13.94562000
0.03410000	13.94562000
0.03420000	13.94562000
0.03430000	13.94562000
0.03440000	13.94562000
0.03450000	13.94562000
0.03460000	13.94562000
0.03470000	13.94562000
0.03480000	13.94562000
0.03490000	13.94562000
0.03500000	13.94562000
0.03510000	13.94562000
0.03520000	14.87758000
0.03530000	13.94562000
0.03540000	13.94562000
0.03550000	14.87758000
0.03560000	14.87758000
0.03570000	13.94562000
0.03580000	14.87758000
0.03590000	14.87758000
0.03600000	14.87758000
0.03610000	13.94562000
0.03620000	13.94562000
0.03630000	13.94562000
0.03640000	13.94562000
0.03650000	13.94562000
0.03660000	13.94562000
0.03670000	13.94562000
0.03680000	13.94562000
0.03690000	13.94562000
0.03700000	13.94562000
0.03710000	13.94562000
0.03720000	13.94562000
0.03730000	13.94562000
0.03740000	13.94562000
0.03750000	13.94562000
0.03760000	13.94562000
0.03770000	13.94562000
0.03780000	13.94562000
0.03790000	13.94562000
0.03800000	14.87758000
0.03810000	13.94562000
0.03820000	14.87758000
0.03830000	14.87758000
0.03840000	14.87758000
0.03850000	14.87758000
0.03860000	13.94562000
0.03870000	13.94562000
0.03880000	13.94562000
0.03890000	13.94562000
0.03900000	13.94562000
0.03910000	13.94562000
0.03920000	13.94562000
0.03930000	14.87758000
0.03940000	14.87758000
0.03950000	14.87758000
0.03960000	14.87758000
0.03970000	14.87758000
0.03980000	14.87758000
0.03990000	14.87758000
0.04000000	14.87758000
0.04010000	14.87758000
0.04020000	14.87758000
0.04030000	14.87758000
0.04040000	14.87758000
0.04050000	15.80647000
0.04060000	14.87758000
0.04070000	14.87758000
0.04080000	14.87758000
0.04090000	14.87758000
0.04100000	13.94562000
0.04110000	13.94562000
0.04120000	13.94562000
0.04130000	13.94562000
0.04140000	13.94562000
0.04150000	13.94562000
0.04160000	13.94562000
0.04170000	13.01673000
0.04180000	13.01673000
0.04190000	13.01673000
0.04200000	13.01673000
0.04210000	13.01673000
0.04220000	13.94562000
0.04230000	13.01673000
0.04240000	13.94562000
0.04250000	13.01673000
0.04260000	13.01673000
0.04270000	13.01673000
0.04280000	13.01673000
0.04290000	13.01673000
0.04300000	13.01673000
0.04310000	13.01673000
0.04320000	13.01673000
0.04330000	13.01673000
0.04340000	13.01673000
0.04350000	13.01673000
0.04360000	13.01673000
0.04370000	13.01673000
0.04380000	13.01673000
0.04390000	13.01673000
0.04400000	13.01673000
0.04410000	13.01673000
0.04420000	13.01673000
0.04430000	13.01673000
0.04440000	13.01673000
0.04450000	13.01673000
0.04460000	13.01673000
0.04470000	13.01673000
0.04480000	13.01673000
0.04490000	13.01673000
0.04500000	13.01673000
0.04510000	13.01673000
0.04520000	13.01673000
0.04530000	13.01673000
0.04540000	13.01673000
0.04550000	13.01673000
0.04560000	13.01673000
0.04570000	13.01673000
0.04580000	13.01673000
0.04590000	13.01673000
0.04600000	13.94562000
0.04610000	13.01673000
0.04620000	13.01673000
0.04630000	13.01673000
0.04640000	13.01673000
0.04650000	13.01673000
0.04660000	13.01673000
0.04670000	13.01673000
0.04680000	13.01673000
0.04690000	13.01673000
0.04700000	13.01673000
0.04710000	13.01673000
0.04720000	13.94562000
0.04730000	13.01673000
0.04740000	13.94562000
0.04750000	13.94562000
0.04760000	13.94562000
0.04770000	13.94562000
0.04780000	13.01673000
0.04790000	13.94562000
0.04800000	13.94562000
0.04810000	13.94562000
0.04820000	13.94562000
0.04830000	13.94562000
0.04840000	13.94562000
0.04850000	13.94562000
0.04860000	13.94562000
0.04870000	13.94562000
0.04880000	13.94562000
0.04890000	13.01673000
0.04900000	13.94562000
0.04910000	13.94562000
0.04920000	13.94562000
0.04930000	13.94562000
0.04940000	13.94562000
0.04950000	13.94562000
0.04960000	13.94562000
0.04970000	13.94562000
0.04980000	13.94562000
0.04990000	13.94562000
0.05000000	13.94562000
0.05010000	13.94562000
0.05020000	14.87758000
0.05030000	13.94562000
0.05040000	14.87758000
0.05050000	13.94562000
0.05060000	14.87758000
0.05070000	14.87758000
0.05080000	13.94562000
0.05090000	14.87758000
0.05100000	14.87758000
0.05110000	14.87758000
0.05120000	14.87758000
0.05130000	13.94562000
0.05140000	14.87758000
0.05150000	13.94562000
0.05160000	13.94562000
0.05170000	14.87758000
0.05180000	14.87758000
0.05190000	14.87758000
0.05200000	14.87758000
0.05210000	14.87758000
0.05220000	14.87758000
0.05230000	14.87758000
0.05240000	14.87758000
0.05250000	14.87758000
0.05260000	14.87758000
0.05270000	14.87758000
0.05280000	14.87758000
0.05290000	14.87758000
0.05300000	14.87758000
0.05310000	14.87758000
0.05320000	14.87758000
0.05330000	14.87758000
0.05340000	13.94562000
0.05350000	14.87758000
0.05360000	13.94562000
0.05370000	13.94562000
0.05380000	13.94562000
0.05390000	13.94562000
0.05400000	13.94562000
0.05410000	13.94562000
0.05420000	13.94562000
0.05430000	14.87758000
0.05440000	14.87758000
0.05450000	14.87758000
0.05460000	14.87758000
0.05470000	14.87758000
0.05480000	14.87758000
0.05490000	14.87758000
0.05500000	14.87758000
0.05510000	14.87758000
0.05520000	14.87758000
0.05530000	14.87758000
0.05540000	14.87758000
0.05550000	14.87758000
0.05560000	14.87758000
0.05570000	14.87758000
0.05580000	14.87758000
0.05590000	14.87758000
0.05600000	13.94562000
0.05610000	14.87758000
0.05620000	13.94562000
0.05630000	13.94562000
0.05640000	13.94562000
0.05650000	13.94562000
0.05660000	13.94562000
0.05670000	13.94562000
0.05680000	13.94562000
0.05690000	13.94562000
0.05700000	13.94562000
0.05710000	13.94562000
0.05720000	13.94562000
0.05730000	13.94562000
0.05740000	13.94562000
0.05750000	13.94562000
0.05760000	13.94562000
0.05770000	13.94562000
0.05780000	13.94562000
0.05790000	13.94562000
0.05800000	13.94562000
0.05810000	13.94562000
0.05820000	13.94562000
0.05830000	13.94562000
0.05840000	13.94562000
0.05850000	13.94562000
0.05860000	13.94562000
0.05870000	13.94562000
0.05880000	13.94562000
0.05890000	13.94562000
0.05900000	13.94562000
0.05910000	13.94562000
0.05920000	14.87758000
0.05930000	14.87758000
0.05940000	14.87758000
0.05950000	14.87758000
0.05960000	14.87758000
0.05970000	14.87758000
0.05980000	14.87758000
0.05990000	14.87758000
0.06000000	14.87758000
0.06010000	14.87758000
0.06020000	14.87758000
0.06030000	14.87758000
0.06040000	14.87758000
0.06050000	14.87758000
0.06060000	14.87758000
0.06070000	14.87758000
0.06080000	14.87758000
0.06090000	14.87758000
0.06100000	14.87758000
0.06110000	14.87758000
0.06120000	14.87758000
0.06130000	13.94562000
0.06140000	13.94562000
0.06150000	13.94562000
0.06160000	13.94562000
0.06170000	13.94562000
0.06180000	13.94562000
0.06190000	13.94562000
0.06200000	13.94562000
0.06210000	13.94562000
0.06220000	13.94562000
0.06230000	14.87758000
0.06240000	13.94562000
0.06250000	14.87758000
0.06260000	14.87758000
0.06270000	14.87758000
0.06280000	14.87758000
0.06290000	14.87758000
0.06300000	14.87758000
0.06310000	14.87758000
0.06320000	14.87758000
0.06330000	14.87758000
0.06340000	14.87758000
0.06350000	14.87758000
0.06360000	14.87758000
0.06370000	14.87758000
0.06380000	14.87758000
0.06390000	14.87758000
0.06400000	14.87758000
0.06410000	14.87758000
0.06420000	14.87758000
0.06430000	14.87758000
0.06440000	14.87758000
0.06450000	14.87758000
0.06460000	14.87758000
0.06470000	15.80647000
0.06480000	15.80647000
0.06490000	14.87758000
0.06500000	15.80647000
0.06510000	15.80647000
0.06520000	15.80647000
0.06530000	15.80647000
0.06540000	15.80647000
0.06550000	14.87758000
0.06560000	15.80647000
0.06570000	14.87758000
0.06580000	14.87758000
0.06590000	14.87758000
0.06600000	14.87758000
0.06610000	14.87758000
0.06620000	14.87758000
0.06630000	13.94562000
0.06640000	13.94562000
0.06650000	14.87758000
0.06660000	14.87758000
0.06670000	13.94562000
0.06680000	14.87758000
0.06690000	14.87758000
0.06700000	14.87758000
0.06710000	14.87758000
0.06720000	15.80647000
0.06730000	15.80647000
0.06740000	15.80647000
0.06750000	15.80647000
0.06760000	15.80647000
0.06770000	15.80647000
0.06780000	15.80647000
0.06790000	15.80647000
0.06800000	15.80647000
0.06810000	15.80647000
0.06820000	15.80647000
0.06830000	15.80647000
0.06840000	15.80647000
0.06850000	15.80647000
0.06860000	15.80647000
0.06870000	15.80647000
0.06880000	15.80647000
0.06890000	15.80647000
0.06900000	15.80647000
0.06910000	15.80647000
0.06920000	15.80647000
0.06930000	15.80647000
0.06940000	15.80647000
0.06950000	16.73536000
0.06960000	16.73536000
0.06970000	16.73536000
0.06980000	16.73536000
0.06990000	16.73536000
0.07000000	16.73536000
0.07010000	15.80647000
0.07020000	15.80647000
0.07030000	15.80647000
0.07040000	15.80647000
0.07050000	15.80647000
0.07060000	15.80647000
0.07070000	15.80647000
0.07080000	15.80647000
0.07090000	14.87758000
0.07100000	15.80647000
0.07110000	15.80647000
0.07120000	14.87758000
0.07130000	15.80647000
0.07140000	15.80647000
0.07150000	14.87758000
0.07160000	15.80647000
0.07170000	15.80647000
0.07180000	15.80647000
0.07190000	15.80647000
0.07200000	15.80647000
0.07210000	15.80647000
0.07220000	15.80647000
0.07230000	15.80647000
0.07240000	15.80647000
0.07250000	15.80647000
0.07260000	15.80647000
0.07270000	14.87758000
0.07280000	14.87758000
0.07290000	14.87758000
0.07300000	14.87758000
0.07310000	14.87758000
0.07320000	14.87758000
0.07330000	14.87758000
0.07340000	14.87758000
0.07350000	14.87758000
0.07360000	13.94562000
0.07370000	13.94562000
0.07380000	13.94562000
0.07390000	13.94562000
0.07400000	13.94562000
0.07410000	13.94562000
0.07420000	13.94562000
0.07430000	13.94562000
0.07440000	13.94562000
0.07450000	13.94562000
0.07460000	13.94562000
0.07470000	13.94562000
0.07480000	14.87758000
0.07490000	14.87758000
0.07500000	14.87758000
0.07510000	14.87758000
0.07520000	14.87758000
0.07530000	14.87758000
0.07540000	14.87758000
0.07550000	14.87758000
0.07560000	13.94562000
0.07570000	13.94562000
0.07580000	13.94562000
0.07590000	13.94562000
0.07600000	13.94562000
0.07610000	13.94562000
0.07620000	13.94562000
0.07630000	13.94562000
0.07640000	13.94562000
0.07650000	13.94562000
0.07660000	13.01673000
0.07670000	13.94562000
0.07680000	13.94562000
0.07690000	13.94562000
0.07700000	13.94562000
0.07710000	13.94562000
0.07720000	13.94562000
0.07730000	13.94562000
0.07740000	13.94562000
0.07750000	13.94562000
0.07760000	13.94562000
0.07770000	13.94562000
0.07780000	13.94562000
0.07790000	13.94562000
0.07800000	13.94562000
0.07810000	13.01673000
0.07820000	13.01673000
0.07830000	13.94562000
0.07840000	13.01673000
0.07850000	13.01673000
0.07860000	12.08784000
0.07870000	13.01673000
0.07880000	13.01673000
0.07890000	13.01673000
0.07900000	13.01673000
0.07910000	13.01673000
0.07920000	13.01673000
0.07930000	13.01673000
0.07940000	13.01673000
0.07950000	13.01673000
0.07960000	13.94562000
0.07970000	13.94562000
0.07980000	13.94562000
0.07990000	13.94562000
0.08000000	13.94562000
0.08010000	13.94562000
0.08020000	13.94562000
0.08030000	13.94562000
0.08040000	13.94562000
0.08050000	13.94562000
0.08060000	13.94562000
0.08070000	13.94562000
0.08080000	13.94562000
0.08090000	13.01673000
0.08100000	13.94562000
0.08110000	13.01673000
0.08120000	13.94562000
0.08130000	13.94562000
0.08140000	13.01673000
0.08150000	13.01673000
0.08160000	13.94562000
0.08170000	13.94562000
0.08180000	13.94562000
0.08190000	13.94562000
0.08200000	13.94562000
0.08210000	13.94562000
0.08220000	13.94562000
0.08230000	13.94562000
0.08240000	13.94562000
0.08250000	13.94562000
0.08260000	13.94562000
0.08270000	13.94562000
0.08280000	13.94562000
0.08290000	13.94562000
0.08300000	13.94562000
0.08310000	13.94562000
0.08320000	13.94562000
0.08330000	13.94562000
0.08340000	13.94562000
0.08350000	13.94562000
0.08360000	13.94562000
0.08370000	13.94562000
0.08380000	13.94562000
0.08390000	13.94562000
0.08400000	13.94562000
0.08410000	14.87758000
0.08420000	14.87758000
0.08430000	13.94562000
0.08440000	14.87758000
0.08450000	14.87758000
0.08460000	14.87758000
0.08470000	14.87758000
0.08480000	14.87758000
0.08490000	14.87758000
0.08500000	14.87758000
0.08510000	14.87758000
0.08520000	14.87758000
0.08530000	14.87758000
0.08540000	14.87758000
0.08550000	14.87758000
0.08560000	14.87758000
0.08570000	14.87758000
0.08580000	13.94562000
0.08590000	13.94562000
0.08600000	13.94562000
0.08610000	13.94562000
0.08620000	13.94562000
0.08630000	13.94562000
0.08640000	13.94562000
0.08650000	13.94562000
0.08660000	13.94562000
0.08670000	13.94562000
0.08680000	13.94562000
0.08690000	13.94562000
0.08700000	13.94562000
0.08710000	13.01673000
0.08720000	13.94562000
0.08730000	13.94562000
0.08740000	13.94562000
0.08750000	13.94562000
0.08760000	13.94562000
0.08770000	13.94562000
0.08780000	13.94562000
0.08790000	13.94562000
0.08800000	13.94562000
0.08810000	13.94562000
0.08820000	13.94562000
0.08830000	13.94562000
0.08840000	13.94562000
0.08850000	14.87758000
0.08860000	13.94562000
0.08870000	13.94562000
0.08880000	13.94562000
0.08890000	13.94562000
0.08900000	14.87758000
0.08910000	13.94562000
0.08920000	14.87758000
0.08930000	14.87758000
0.08940000	14.87758000
0.08950000	14.87758000
0.08960000	14.87758000
0.08970000	14.87758000
0.08980000	14.87758000
0.08990000	14.87758000
0.09000000	14.87758000
0.09010000	14.87758000
0.09020000	14.87758000
0.09030000	14.87758000
0.09040000	14.87758000
0.09050000	14.87758000
0.09060000	14.87758000
0.09070000	13.94562000
0.09080000	13.94562000
0.09090000	13.94562000
0.09100000	13.94562000
0.09110000	13.94562000
0.09120000	13.94562000
0.09130000	13.94562000
0.09140000	13.94562000
0.09150000	13.94562000
0.09160000	13.94562000
0.09170000	13.94562000
0.09180000	13.94562000
0.09190000	13.94562000
0.09200000	13.94562000
0.09210000	13.94562000
0.09220000	13.94562000
0.09230000	13.94562000
0.09240000	13.94562000
0.09250000	13.94562000
0.09260000	13.94562000
0.09270000	13.94562000
0.09280000	13.94562000
0.09290000	13.94562000
0.09300000	13.94562000
0.09310000	13.94562000
0.09320000	13.01673000
0.09330000	13.01673000
0.09340000	13.01673000
0.09350000	13.01673000
0.09360000	13.01673000
0.09370000	13.01673000
0.09380000	13.01673000
0.09390000	13.01673000
0.09400000	13.01673000
0.09410000	13.01673000
0.09420000	13.01673000
0.09430000	13.01673000
0.09440000	13.01673000
0.09450000	13.01673000
0.09460000	13.01673000
0.09470000	13.01673000
0.09480000	13.01673000
0.09490000	13.01673000
0.09500000	13.01673000
0.09510000	13.94562000
0.09520000	13.01673000
0.09530000	13.01673000
0.09540000	13.01673000
0.09550000	13.01673000
0.09560000	13.01673000
0.09570000	13.01673000
0.09580000	13.01673000
0.09590000	13.01673000
0.09600000	13.01673000
0.09610000	13.01673000
0.09620000	13.01673000
0.09630000	13.01673000
0.09640000	13.01673000
0.09650000	13.01673000
0.09660000	13.01673000
0.09670000	13.01673000
0.09680000	13.01673000
0.09690000	13.01673000
0.09700000	13.01673000
0.09710000	13.01673000
0.09720000	13.01673000
0.09730000	13.01673000
0.09740000	13.01673000
0.09750000	13.01673000
0.09760000	13.01673000
0.09770000	12.08784000
0.09780000	12.08784000
0.09790000	12.08784000
0.09800000	13.01673000
0.09810000	12.08784000
0.09820000	12.08784000
0.09830000	12.08784000
0.09840000	12.08784000
0.09850000	12.08784000
0.09860000	12.08784000
0.09870000	12.08784000
0.09880000	12.08784000
0.09890000	12.08784000
0.09900000	12.08784000
0.09910000	12.08784000
0.09920000	12.08784000
0.09930000	13.01673000
0.09940000	12.08784000
0.09950000	13.01673000
0.09960000	13.01673000
0.09970000	13.01673000
0.09980000	13.01673000
0.09990000	13.01673000
0.10000000	13.01673000
0.10010000	13.01673000
0.10020000	13.01673000
0.10030000	13.01673000
0.10040000	13.01673000
0.10050000	13.01673000
0.10060000	13.01673000
0.10070000	13.01673000
0.10080000	13.01673000
0.10090000	13.01673000
0.10100000	13.01673000
0.10110000	13.01673000
0.10120000	13.01673000
0.10130000	12.08784000
0.10140000	13.01673000
0.10150000	13.01673000
0.10160000	13.01673000
0.10170000	13.01673000
0.10180000	13.01673000
0.10190000	13.01673000
0.10200000	12.08784000
0.10210000	13.01673000
0.10220000	13.01673000
0.10230000	13.01673000
0.10240000	13.01673000
0.10250000	13.01673000
0.10260000	13.01673000
0.10270000	13.01673000
0.10280000	13.01673000
0.10290000	13.01673000
0.10300000	13.01673000
0.10310000	13.01673000
0.10320000	13.01673000
0.10330000	13.01673000
0.10340000	13.01673000
0.10350000	13.01673000
0.10360000	13.01673000
0.10370000	13.01673000
0.10380000	13.01673000
0.10390000	13.01673000
0.10400000	13.01673000
0.10410000	13.01673000
0.10420000	13.01673000
0.10430000	13.01673000
0.10440000	13.01673000
0.10450000	13.01673000
0.10460000	13.01673000
0.10470000	13.01673000
0.10480000	13.94562000
0.10490000	13.94562000
0.10500000	13.94562000
0.10510000	13.94562000
0.10520000	13.94562000
0.10530000	13.94562000
0.10540000	13.94562000
0.10550000	13.01673000
0.10560000	13.94562000
0.10570000	13.01673000
0.10580000	13.01673000
0.10590000	13.01673000
0.10600000	13.01673000
0.10610000	13.01673000
0.10620000	13.01673000
0.10630000	13.01673000
0.10640000	13.01673000
0.10650000	13.01673000
0.10660000	13.01673000
0.10670000	12.08784000
0.10680000	12.08784000
0.10690000	12.08784000
0.10700000	12.08784000
0.10710000	12.08784000
0.10720000	12.08784000
0.10730000	12.08784000
0.10740000	12.08784000
0.10750000	12.08784000
0.10760000	12.08784000
0.10770000	12.08784000
0.10780000	12.08784000
0.10790000	12.08784000
0.10800000	12.08784000
0.10810000	12.08784000
0.10820000	12.08784000
0.10830000	12.08784000
0.10840000	12.08784000
0.10850000	12.08784000
0.10860000	12.08784000
0.10870000	12.08784000
0.10880000	12.08784000
0.10890000	12.08784000
0.10900000	12.08784000
0.10910000	12.08784000
0.10920000	13.01673000
0.10930000	13.01673000
0.10940000	13.01673000
0.10950000	13.01673000
0.10960000	13.01673000
0.10970000	13.01673000
0.10980000	13.01673000
0.10990000	13.01673000
0.11000000	13.01673000
0.11010000	13.01673000
0.11020000	13.01673000
0.11030000	12.08784000
0.11040000	13.01673000
0.11050000	12.08784000
0.11060000	13.01673000
0.11070000	12.08784000
0.11080000	12.08784000
0.11090000	12.08784000
0.11100000	12.08784000
0.11110000	12.08784000
0.11120000	12.08784000
0.11130000	12.08784000
0.11140000	12.08784000
0.11150000	12.08784000
0.11160000	11.15588000
0.11170000	11.15588000
0.11180000	11.15588000
0.11190000	11.15588000
0.11200000	11.15588000
0.11210000	12.08784000
0.11220000	11.15588000
0.11230000	11.15588000
0.11240000	12.08784000
0.11250000	12.08784000
0.11260000	12.08784000
0.11270000	12.08784000
0.11280000	12.08784000
0.11290000	12.08784000
0.11300000	12.08784000
0.11310000	12.08784000
0.11320000	12.08784000
0.11330000	12.08784000
0.11340000	12.08784000
0.11350000	12.08784000
0.11360000	12.08784000
0.11370000	11.15588000
0.11380000	12.08784000
0.11390000	12.08784000
0.11400000	12.08784000
0.11410000	11.15588000
0.11420000	12.08784000
0.11430000	12.08784000
0.11440000	12.08784000
0.11450000	12.08784000
0.11460000	12.08784000
0.11470000	12.08784000
0.11480000	12.08784000
0.11490000	12.08784000
0.11500000	12.08784000
0.11510000	12.08784000
0.11520000	13.01673000
0.11530000	12.08784000
0.11540000	12.08784000
0.11550000	12.08784000
0.11560000	12.08784000
0.11570000	12.08784000
0.11580000	12.08784000
0.11590000	12.08784000
0.11600000	12.08784000
0.11610000	12.08784000
0.11620000	12.08784000
0.11630000	12.08784000
